dataset,architecture,window_size,filter,train_mse,train_std,val_mse,val_std
exchange_rate,lstm_vanilla_windowed,64,sma,0.004791118786455608,0.0005868679366212455,0.005152156212429119,0.0011412482165229347
exchange_rate,lstm_vanilla_windowed,128,sma,0.006660869381374318,0.0011938706798689876,0.004350891984171593,0.0025229878989272677
exchange_rate,lstm_vanilla_stateless_windowed,1,sma,0.004575300941957606,1.2295922865462155e-05,0.0018484673812054098,3.422325105931361e-05
exchange_rate,lstm_vanilla_stateless_windowed,2,sma,0.004999058404014658,6.380211449909374e-05,0.0019422109879087656,3.5608080588392705e-05
exchange_rate,lstm_vanilla_stateless_windowed,4,sma,0.004851036349300327,7.594104236654061e-05,0.00192893510684371,7.675141547804845e-05
exchange_rate,lstm_vanilla_stateless_windowed,8,sma,0.00472054579070422,0.00013523584051331473,0.0019158864335622639,0.0001369335323415002
exchange_rate,lstm_vanilla_stateless_windowed,16,sma,0.0046812837980656835,9.897717205740581e-05,0.0020204026193823667,0.0002681768821634333
exchange_rate,lstm_vanilla_stateless_windowed,32,sma,0.004710427662338281,0.0002102190506137338,0.002048582077259198,0.00044152425491129823
exchange_rate,lstm_vanilla_stateless_windowed,64,sma,0.0047007680164024585,0.00015362733313262032,0.0020194733748212456,0.0003439522572822065
exchange_rate,lstm_vanilla_stateless_windowed,128,sma,0.00471702656770111,9.000210438787333e-05,0.0019123083679005505,0.00016597875657556552
