scenario,signal,seed,auc,spearman,det_lag,miss_rate,regime_gap
off_grid_lag_switch,ewacf_mean,4,0.7778860967689524,0.47970525539505515,36.5,0.42857142857142855,0.1082218846086076
off_grid_lag_switch,ewacf_max,4,0.749687993294667,0.43102783469152234,48.0,0.2857142857142857,0.11796025304196645
off_grid_lag_switch,mi_knn,4,0.7984708686230606,0.5166550551918111,66.5,0.14285714285714285,0.20827188093777393
off_grid_lag_switch,ks_shift,4,0.43804005655992573,-0.10739116255117648,59.0,0.2857142857142857,-0.011474014898555346
nonlinear_map_switch,ewacf_mean,0,0.47912682391273553,-0.03601258077731056,42.5,0.14285714285714285,-0.005316684051578813
nonlinear_map_switch,ewacf_max,0,0.4743703580029547,-0.04421893193076252,22.0,0.5714285714285714,-0.008751744001387896
nonlinear_map_switch,mi_knn,0,0.8784021534021534,0.6548331487006875,51.0,0.0,0.3188567340228478
nonlinear_map_switch,ks_shift,0,0.645732259761515,0.25301429817615095,6.0,0.5714285714285714,0.015147884030862757
nonlinear_map_switch,ewacf_mean,1,0.49142861167455487,-0.01483030198126497,58.0,0.5714285714285714,-0.00020399752188349218
nonlinear_map_switch,ewacf_max,1,0.4758088939598828,-0.04185569410858657,57.0,0.7142857142857143,-0.008487149139539962
nonlinear_map_switch,mi_knn,1,0.8657862462849572,0.6304535932399655,20.0,0.0,0.31863594442859644
nonlinear_map_switch,ks_shift,1,0.5695840820284647,0.1198207740144237,134.5,0.42857142857142855,0.006986672434392133
nonlinear_map_switch,ewacf_mean,2,0.4838658197148764,-0.02792753564687393,9.0,0.5714285714285714,-0.0009929917490660856
nonlinear_map_switch,ewacf_max,2,0.4842921858016198,-0.02718951525701479,59.5,0.7142857142857143,-0.00370119498434085
nonlinear_map_switch,mi_knn,2,0.9139594805194805,0.7169457328910407,19.0,0.0,0.3529463718885508
nonlinear_map_switch,ks_shift,2,0.4833334552771173,-0.028899987105759504,23.5,0.7142857142857143,-0.0027411499298823083
nonlinear_map_switch,ewacf_mean,3,0.5136876534471282,0.023695137749748605,59.0,0.42857142857142855,0.007216995081318123
nonlinear_map_switch,ewacf_max,3,0.5028676128972602,0.004964217049766971,73.0,0.2857142857142857,0.0032897440966527247
nonlinear_map_switch,mi_knn,3,0.8539155437223038,0.6129205635020947,49.0,0.0,0.31859588637421576
nonlinear_map_switch,ks_shift,3,0.5064440553534475,0.01117744901336164,51.0,0.2857142857142857,-0.0003986605147223016
nonlinear_map_switch,ewacf_mean,4,0.49469645455769845,-0.009155328928794594,55.0,0.5714285714285714,0.0019570500776748823
nonlinear_map_switch,ewacf_max,4,0.5005017123413149,0.0008660888385194009,71.5,0.7142857142857143,-9.314335201904278e-06
